Week,Indicator,Cluster,Location,Target,UNICEF Results,Cluster_Results,Comments 
2019-04-07,Number of children (under 18 years old) in affected areas provided with access to safe water and personal hygiene,WASH,Chimanimani,129600,7980,8304,
2019-04-07,Number of children (under 18 years old) in affected areas provided with access to safe water and personal hygiene,WASH,Chipinge,129600,1767,12456,
