Week,Indicator,Cluster,Location,Target,UNICEF Results,Cluster Results ,Comments 
2019-04-07,Number of children aged 6 months to 15 years in humanitarian situations who are vaccinated against measles,Health ,Chimanimani,15000,0,n/a,Vaccination not yet commenced 
2019-04-07,Number of children aged 6 months to 15 years in humanitarian situations who are vaccinated against measles,Health ,Chipinge,15000,0,n/a,Vaccination not yet commenced 
