AREA,PERIMETER,ZI_CITY_,ZI_CITY_ID,PPPTTYPE,PPPTTYPETX,PPPTNAME,PPPTFLAG,LONG,LAT,Status,towns
0.000000,0.000000,"162","162","1",Populated places (no subcategories),Nyabira,"1",30.802790,-17.684250,,
0.000000,0.000000,"164","164","1",Populated places (no subcategories),Darwendale,"1",30.544240,-17.722980,,
0.000000,0.000000,"165","165","1",Populated places (no subcategories),Mount Hampden Junction,"1",30.931090,-17.731800,,
0.000000,0.000000,"167","167","1",Populated places (no subcategories),Chikumbakwe,"1",32.034690,-17.771720,,
0.000000,0.000000,"170","170","2",Populated places associated with city polygons,Harare,"1",31.053950,-17.829220,Major,TOWN
0.000000,0.000000,"173","173","1",Populated places (no subcategories),Goromonzi,"1",31.439070,-17.886040,,
0.000000,0.000000,"174","174","1",Populated places (no subcategories),Norton,"1",30.689140,-17.886470,Semi Major,TOWN
0.000000,0.000000,"176","176","1",Populated places (no subcategories),Makwiro,"1",30.436220,-17.960570,,
0.000000,0.000000,"177","177","1",Populated places (no subcategories),Glenluce,"1",30.714950,-17.992790,,
0.000000,0.000000,"179","179","1",Populated places (no subcategories),Gadzema,"1",30.144450,-18.039700,,
0.000000,0.000000,"181","181","1",Populated places (no subcategories),Sola,"1",32.353070,-18.055360,,
0.000000,0.000000,"182","182","1",Populated places (no subcategories),Bromley,"1",31.344730,-18.082420,,
0.000000,0.000000,"184","184","1",Populated places (no subcategories),Chegutu,"1",30.142450,-18.139840,Semi Major,TOWN
0.000000,0.000000,"185","185","1",Populated places (no subcategories),Macheke,"1",31.843720,-18.155110,Semi Major,TOWN
0.000000,0.000000,"186","186","1",Populated places (no subcategories),Kwaraguza,"1",32.802500,-18.174430,,
0.000000,0.000000,"187","187","1",Populated places (no subcategories),Marondera,"1",31.556100,-18.192540,Semi Major,TOWN
0.000000,0.000000,"188","188","1",Populated places (no subcategories),,"1",32.269700,-18.202530,,
0.000000,0.000000,"190","190","1",Populated places (no subcategories),Beatrice,"1",30.842720,-18.251580,,
0.000000,0.000000,"192","192","1",Populated places (no subcategories),Duchess Hill,"1",30.199980,-18.285970,,
0.000000,0.000000,"193","193","1",Populated places (no subcategories),Headlands,"1",32.048870,-18.287730,,
0.000000,0.000000,"194","194","1",Populated places (no subcategories),Mendamu,"1",31.349650,-18.295530,,
0.000000,0.000000,"196","196","1",Populated places (no subcategories),Mubayira,"1",30.585400,-18.318240,,
0.000000,0.000000,"197","197","1",Populated places (no subcategories),Sanyatwe,"1",32.585160,-18.358450,,
0.000000,0.000000,"199","199","1",Populated places (no subcategories),Olivia,"1",31.930830,-18.386400,,
0.000000,0.000000,"202","202","1",Populated places (no subcategories),Welgetroos,"1",31.054060,-18.428960,,
0.000000,0.000000,"204","204","1",Populated places (no subcategories),Mantlavina,"1",30.891440,-18.459310,,
0.000000,0.000000,"205","205","1",Populated places (no subcategories),Igava,"1",31.622790,-18.461520,,
0.000000,0.000000,"209","209","2",Populated places associated with city polygons,Rusape,"1",32.121090,-18.537070,Semi Major,TOWN
