Admin_3,pcode_admin3,POP_Males_2012,Pop_FEMALE_2012,Total_Pop_2012,Household_No,Ave_Household_size
Nkayi-18, ZW150518 ,1450,1503,2953,553,5
Nkayi-19, ZW150519 ,1824,1885,3709,765,5
Nkayi-20, ZW150520 ,1571,1719,3290,690,5
Nkayi-21, ZW150521 ,1686,1783,3469,715,5
Nkayi-22, ZW150522 ,2674,3054,5728,1186,5
Nkayi-23, ZW150523 ,1320,1426,2746,582,5
Nkayi-24, ZW150524 ,2150,2273,4423,848,5
Nkayi-25, ZW150525 ,2044,2128,4172,772,5
Nkayi-26, ZW150526 ,1233,1456,2689,525,5
Nkayi-27, ZW150527 ,1738,1797,3535,622,6
Nkayi-28, ZW150528 ,919,1036,1955,391,5
Nkayi-29, ZW150529 ,2440,2927,5367,1243,4
Nkayi-30, ZW150530 ,1018,1121,2139,434,5
Tsholotsho-1, ZW150601 ,1834,1901,3735,747,5
Tsholotsho-2, ZW150602 ,2273,2556,4829,965,5
Tsholotsho-3, ZW150603 ,2422,2927,5349,1031,5
Tsholotsho-4, ZW150604 ,1377,1457,2834,563,5
Tsholotsho-5, ZW150605 ,2434,2748,5182,1108,5
Tsholotsho-6, ZW150606 ,3444,3897,7341,1532,5
Tsholotsho-7, ZW150607 ,2050,2178,4228,804,5
Tsholotsho-8, ZW150608 ,4103,4947,9050,1752,5
Tsholotsho-9, ZW150609 ,3087,3525,6612,1291,5
Tsholotsho-10, ZW150610 ,1594,1689,3283,731,5
Tsholotsho-11, ZW150611 ,1798,2148,3946,1159,3
Tsholotsho-12, ZW150612 ,3363,3640,7003,1471,5
Tsholotsho-13, ZW150613 ,2841,3327,6168,1411,4
Tsholotsho-14, ZW150614 ,1572,2070,3642,779,5
Tsholotsho-15, ZW150615 ,3618,4514,8132,1727,5
Tsholotsho-16, ZW150616 ,2507,3130,5637,1213,5
Tsholotsho-17, ZW150617 ,1971,2562,4533,959,5
Tsholotsho-18, ZW150618 ,2130,2418,4548,925,5
Tsholotsho-19, ZW150619 ,2610,3142,5752,1242,5
Tsholotsho-20, ZW150620 ,969,899,1868,417,5
Tsholotsho-21, ZW150621 ,1034,1262,2296,443,5
Tsholotsho-22, ZW150622 ,3598,4329,7927,1881,4
Umguza-1, ZW150701 ,2844,2705,5549,1459,4
Umguza-2, ZW150702 ,6892,5328,12220,2775,4
Umguza-3, ZW150703 ,1906,2001,3907,758,5
Umguza-4, ZW150704 ,1475,1521,2996,616,5
Umguza-5, ZW150705 ,1984,1956,3940,808,5
Umguza-6, ZW150706 ,1409,1531,2940,638,5
Umguza-7, ZW150707 ,2680,2693,5373,1465,4
Umguza-8, ZW150708 ,2747,2451,5198,1394,4
Umguza-9, ZW150709 ,2991,2635,5626,1411,4
Umguza-10, ZW150710 ,1457,1430,2887,607,5
Umguza-11, ZW150711 ,2559,2742,5301,1133,5
Umguza-12, ZW150712 ,1028,1112,2140,436,5
Umguza-13, ZW150713 ,1268,1220,2488,560,4
Umguza-14, ZW150714 ,2223,2055,4278,1077,4
Umguza-15, ZW150715 ,1683,2245,3928,388,10
Umguza-16, ZW150716 ,7244,4475,11719,2314,5
Umguza-17, ZW150717 ,415,346,761,191,4
Umguza-18, ZW150718 ,964,1041,2005,388,5
Umguza-19, ZW150719 ,2180,2082,4262,1077,4
VictoriaFalls-1, ZW152201 ,515,556,1071,327,3
VictoriaFalls-2, ZW152202 ,1602,1370,2972,506,6
VictoriaFalls-3, ZW152203 ,488,564,1052,253,4
VictoriaFalls-4, ZW152204 ,1112,1145,2257,592,4
VictoriaFalls-5, ZW152205 ,790,873,1663,476,4
VictoriaFalls-6, ZW152206 ,610,731,1341,370,4
VictoriaFalls-7, ZW152207 ,856,983,1839,500,4
VictoriaFalls-8, ZW152208 ,854,955,1809,545,3
VictoriaFalls-9, ZW152209 ,1720,1924,3644,1018,4
VictoriaFalls-10, ZW152210 ,1349,1483,2832,767,4
VictoriaFalls-11, ZW152211 ,6310,6920,13230,3755,4
Beitbridge-1, ZW160101 ,4415,5021,9436,1664,12
Beitbridge-2, ZW160102 ,3379,3734,7113,1747,8
Beitbridge-3, ZW160103 ,5242,6099,11341,2775,9
Beitbridge-4, ZW160104 ,7826,8672,16498,4631,8
Beitbridge-5, ZW160105 ,8000,9475,17475,4458,8
Beitbridge-6, ZW160106 ,9293,9803,19096,5571,7
Beitbridge-7, ZW160107 ,1324,1458,2782,591,5
Beitbridge-8, ZW160108 ,1681,2044,3725,828,5
Beitbridge-9, ZW160109 ,2313,2497,4810,1123,4
Beitbridge-10, ZW160110 ,2699,3310,6009,1199,5
Beitbridge-11, ZW160111 ,3232,3850,7082,1502,5
Beitbridge-12, ZW160112 ,2766,3192,5958,1312,5
Beitbridge-13, ZW160113 ,1279,1043,2322,611,4
Beitbridge-14, ZW160114 ,2673,1985,4658,1561,3
Beitbridge-15, ZW160115 ,1971,2277,4248,982,4
Bulilima-1, ZW160201 ,2352,2753,5105,1133,5
Bulilima-2, ZW160202 ,1206,1411,2617,591,4
Bulilima-3, ZW160203 ,2792,3301,6093,1286,5
Bulilima-4, ZW160204 ,2405,2548,4953,1098,5
Bulilima-5, ZW160205 ,2739,3276,6015,1417,4
Bulilima-6, ZW160206 ,2220,2791,5011,1172,4
Bulilima-7, ZW160207 ,3783,4591,8374,1824,5
Bulilima-8, ZW160208 ,1783,2353,4136,878,5
Bulilima-9, ZW160209 ,2455,2847,5302,1279,4
Bulilima-10, ZW160210 ,1847,2104,3951,883,5
Bulilima-11, ZW160211 ,2180,2597,4777,1013,5
Bulilima-12, ZW160212 ,2895,3573,6468,1231,5
Bulilima-13, ZW160213 ,1398,1759,3157,646,5
Bulilima-14, ZW160214 ,2674,3028,5702,1285,4
Bulilima-15, ZW160215 ,903,922,1825,367,5
Bulilima-16, ZW160216 ,924,961,1885,388,5
Bulilima-17, ZW160217 ,184,189,373,80,5
Bulilima-18, ZW160218 ,472,494,966,182,5
Bulilima-19, ZW160219 ,2977,2979,5956,1251,5
Bulilima-20, ZW160220 ,1007,1082,2089,460,5
Bulilima-21, ZW160221 ,976,1099,2075,468,4
Bulilima-22, ZW160222 ,1741,2186,3927,829,5
Mangwe-1, ZW160301 ,3158,3830,6988,1590,9
Mangwe-2, ZW160302 ,2595,3085,5680,1278,9
Mangwe-3, ZW160303 ,3683,4298,7981,1905,9
Mangwe-4, ZW160304 ,2945,3526,6471,1382,9
Mangwe-5, ZW160305 ,1825,1958,3783,948,8
Mangwe-6, ZW160306 ,3528,3987,7515,1697,9
Mangwe-7, ZW160307 ,1381,1610,2991,617,5
Mangwe-8, ZW160308 ,977,1119,2096,399,5
Mangwe-9, ZW160309 ,1035,1330,2365,498,5
Mangwe-10, ZW160310 ,2339,2765,5104,1041,5
Mangwe-11, ZW160311 ,2119,1431,3550,865,4
Mangwe-12, ZW160312 ,1302,1411,2713,562,5
Mangwe-13, ZW160313 ,1624,1777,3401,650,5
Mangwe-14, ZW160314 ,996,1114,2110,428,5
Mangwe-15, ZW160315 ,2886,2916,5802,1224,5
Mangwe-16, ZW160316 ,2664,3492,6156,1225,5
Mangwe-17, ZW160317 ,1820,2139,3959,770,5
Gwanda-1, ZW160401 ,3166,3359,6525,1480,9
Gwanda-2, ZW160402 ,2268,2531,4799,1052,9
Gwanda-3, ZW160403 ,2050,2268,4318,979,9
Gwanda-4, ZW160404 ,3329,3869,7198,1680,9
Gwanda-5, ZW160405 ,1530,1671,3201,786,9
Gwanda-6, ZW160406 ,3537,3908,7445,1725,9
Gwanda-7, ZW160407 ,3211,3837,7048,1756,9
Gwanda-8, ZW160408 ,4285,4495,8780,2237,7
Gwanda-9, ZW160409 ,3017,3271,6288,1468,9
Gwanda-10, ZW160410 ,757,564,1321,379,7
Gwanda-11, ZW160411 ,2115,2478,4593,1079,4
Gwanda-12, ZW160412 ,2315,2804,5119,1148,5
Gwanda-13, ZW160413 ,3637,4104,7741,1644,5
Gwanda-14, ZW160414 ,2646,3219,5865,1389,4
Gwanda-15, ZW160415 ,2116,2597,4713,1082,4
Gwanda-16, ZW160416 ,2530,2937,5467,1226,5
Gwanda-17, ZW160417 ,2741,3230,5971,1283,5
Gwanda-18, ZW160418 ,2532,2986,5518,1207,5
Gwanda-19, ZW160419 ,2497,2902,5399,1231,4
Gwanda-20, ZW160420 ,2106,2512,4618,968,5
Gwanda-21, ZW160421 ,4570,3242,7812,2229,4
Gwanda-22, ZW160422 ,4379,3238,7617,1966,4
Gwanda-23, ZW160423 ,3604,3119,6723,1762,4
Gwanda-24, ZW160424 ,1193,1505,2698,673,4
Insiza-1, ZW160501 ,1901,1968,3869,783,5
Insiza-2, ZW160502 ,2343,2510,4853,1024,5
Insiza-3, ZW160503 ,2458,2801,5259,1096,5
Insiza-4, ZW160504 ,2514,2759,5273,1059,5
Insiza-5, ZW160505 ,2093,2349,4442,955,5
Insiza-6, ZW160506 ,1751,2010,3761,811,5
Insiza-7, ZW160507 ,1895,2196,4091,815,5
Insiza-8, ZW160508 ,438,414,852,150,6
Insiza-9, ZW160509 ,2112,2338,4450,949,5
Insiza-10, ZW160510 ,1120,1160,2280,444,5
Insiza-11, ZW160511 ,1226,1488,2714,537,5
Insiza-12, ZW160512 ,1126,1137,2263,452,5
Insiza-13, ZW160513 ,1677,1615,3292,784,4
Insiza-14, ZW160514 ,1487,1054,2541,794,3
Insiza-15, ZW160515 ,2626,2546,5172,1422,4
Insiza-16, ZW160516 ,1750,1371,3121,652,5
Insiza-17, ZW160517 ,2622,2880,5502,1130,5
Insiza-18, ZW160518 ,1610,1725,3335,645,5
Insiza-19, ZW160519 ,3797,3895,7692,1488,5
Insiza-20, ZW160520 ,3975,4393,8368,1585,5
Insiza-21, ZW160521 ,3369,3281,6650,1293,5
Insiza-22, ZW160522 ,2814,2820,5634,1221,5
Insiza-23, ZW160523 ,2477,1902,4379,1312,3
Matobo-1, ZW160601 ,1833,2149,3982,854,5
Matobo-2, ZW160602 ,2999,3079,6078,1387,4
Matobo-3, ZW160603 ,1674,1847,3521,827,4
Matobo-4, ZW160604 ,2322,2614,4936,999,5
Matobo-5, ZW160605 ,2157,2511,4668,930,5
Matobo-6, ZW160606 ,2399,2959,5358,1046,5
Matobo-7, ZW160607 ,2253,2618,4871,1043,5
Matobo-8, ZW160608 ,1992,2322,4314,896,5
Matobo-9, ZW160609 ,1540,1660,3200,665,5
Matobo-10, ZW160610 ,1575,1921,3496,724,5
Matobo-11, ZW160611 ,1547,1811,3358,709,5
Matobo-12, ZW160612 ,1983,2158,4141,854,5
Matobo-13, ZW160613 ,1684,1996,3680,872,4
Matobo-14, ZW160614 ,1952,2374,4326,980,4
Matobo-15, ZW160615 ,2494,2595,5089,1082,5
Matobo-16, ZW160616 ,2230,2486,4716,945,5
Matobo-17, ZW160617 ,2053,2215,4268,918,5
Matobo-18, ZW160618 ,1646,1875,3521,722,5
Matobo-19, ZW160619 ,2640,3080,5720,1339,4
Matobo-20, ZW160620 ,49,16,65,25,3
Matobo-21, ZW160621 ,673,433,1106,277,4
Matobo-22, ZW160622 ,438,200,638,214,3
Matobo-23, ZW160623 ,566,409,975,249,4
Matobo-24, ZW160624 ,1157,885,2042,539,4
Matobo-25, ZW160625 ,3162,2760,5922,1653,4
Umzingwane-1, ZW160701 ,1659,1681,3340,652,5
Umzingwane-2, ZW160702 ,1696,1909,3605,835,4
Umzingwane-3, ZW160703 ,2609,2738,5347,1140,5
Umzingwane-4, ZW160704 ,1963,2024,3987,884,5
Umzingwane-5, ZW160705 ,1989,2325,4314,913,5
Umzingwane-6, ZW160706 ,1989,2157,4146,942,4
Umzingwane-7, ZW160707 ,1435,1515,2950,643,5
Umzingwane-8, ZW160708 ,1353,1423,2776,571,5
Umzingwane-9, ZW160709 ,1093,1196,2289,494,5
Umzingwane-10, ZW160710 ,523,615,1138,244,5
Umzingwane-11, ZW160711 ,1033,1124,2157,476,5
Umzingwane-12, ZW160712 ,1812,1918,3730,806,5
Umzingwane-13, ZW160713 ,734,949,1683,306,6
Umzingwane-14, ZW160714 ,1759,1545,3304,797,4
Umzingwane-15, ZW160715 ,277,170,447,139,3
Umzingwane-16, ZW160716 ,1647,1692,3339,923,4
Umzingwane-17, ZW160717 ,1457,1473,2930,1008,3
Umzingwane-18, ZW160718 ,2495,2180,4675,1140,4
Umzingwane-19, ZW160719 ,2259,1986,4245,1054,4
Umzingwane-20, ZW160720 ,1014,1094,2108,483,4
Chirumhanzu-1, ZW170101 ,1823,2207,4030,1042,4
Chirumhanzu-2, ZW170102 ,1711,2114,3825,903,4
Chirumhanzu-3, ZW170103 ,1870,2385,4255,1030,4
Chirumhanzu-4, ZW170104 ,990,1190,2180,566,4
Chirumhanzu-5, ZW170105 ,1224,1551,2775,694,4
Chirumhanzu-6, ZW170106 ,1577,1909,3486,846,4
Chirumhanzu-7, ZW170107 ,1314,1468,2782,700,4
Chirumhanzu-8, ZW170108 ,1487,1844,3331,845,4
Chirumhanzu-9, ZW170109 ,2375,2844,5219,1320,4
Chirumhanzu-10, ZW170110 ,561,609,1170,299,4
Chirumhanzu-11, ZW170111 ,1700,1787,3487,753,5
Chirumhanzu-12, ZW170112 ,2548,2310,4858,1121,4
Chirumhanzu-13, ZW170113 ,614,678,1292,365,4
Chirumhanzu-14, ZW170114 ,959,1117,2076,575,4
Chirumhanzu-15, ZW170115 ,2120,2090,4210,936,5
Chirumhanzu-16, ZW170116 ,583,484,1067,332,3
Chirumhanzu-17, ZW170117 ,906,977,1883,570,3
Chirumhanzu-18, ZW170118 ,890,954,1844,407,5
Chirumhanzu-19, ZW170119 ,1927,1944,3871,836,5
Chirumhanzu-20, ZW170120 ,4129,4174,8303,1880,4
Chirumhanzu-21, ZW170121 ,847,977,1824,464,4
Chirumhanzu-22, ZW170122 ,2163,2163,4326,1019,4
Chirumhanzu-23, ZW170123 ,1496,1818,3314,812,4
Chirumhanzu-24, ZW170124 ,937,1106,2043,540,4
Chirumhanzu-25, ZW170125 ,1660,1976,3636,881,4
Gokwe North-1, ZW170201 ,2967,3338,6305,1308,5
Gokwe North-2, ZW170202 ,7629,8446,16075,3227,5
Gokwe North-3, ZW170203 ,6526,7272,13798,1714,8
Gokwe North-4, ZW170204 ,4803,5253,10056,1962,5
Gokwe North-5, ZW170205 ,4224,4597,8821,1751,5
Gokwe North-6, ZW170206 ,2369,2510,4879,984,5
Gokwe North-7, ZW170207 ,4166,4285,8451,1712,5
Gokwe North-8, ZW170208 ,3796,4087,7883,1562,5
Gokwe North-9, ZW170209 ,4937,5112,10049,2074,5
Gokwe North-10, ZW170210 ,2349,2657,5006,1040,5
Gokwe North-11, ZW170211 ,3991,4242,8233,1826,5
Gokwe North-12, ZW170212 ,3425,3717,7142,1592,5
Gokwe North-13, ZW170213 ,3022,3287,6309,1346,5
Gokwe North-14, ZW170214 ,3169,3530,6699,1470,5
Gokwe North-15, ZW170215 ,3216,3499,6715,1482,5
Gokwe North-16, ZW170216 ,2173,2270,4443,983,5
Gokwe North-17, ZW170217 ,2653,2640,5293,1092,5
Gokwe North-18, ZW170218 ,2578,2761,5339,1134,5
Gokwe North-19, ZW170219 ,2892,3120,6012,1289,5
Gokwe North-20, ZW170220 ,2514,2575,5089,942,5
Gokwe North-21, ZW170221 ,2064,2132,4196,855,5
Gokwe North-22, ZW170222 ,4340,3847,8187,1613,5
Gokwe North-23, ZW170223 ,3183,3523,6706,1363,5
Gokwe North-24, ZW170224 ,1109,1076,2185,421,5
Gokwe North-25, ZW170225 ,1633,1633,3266,643,5
Gokwe North-26, ZW170226 ,1329,1347,2676,558,5
Gokwe North-27, ZW170227 ,2801,2980,5781,1056,6
Gokwe North-28, ZW170228 ,3846,4147,7993,1577,5
Gokwe North-29, ZW170229 ,1741,1937,3678,811,5
Gokwe North-30, ZW170230 ,3102,3434,6536,1379,5
Gokwe North-31, ZW170231 ,3306,3867,7173,1531,5
Gokwe North-32, ZW170232 ,1340,1411,2751,532,5
Gokwe North-33, ZW170233 ,2717,2948,5665,1110,5
Gokwe North-34, ZW170234 ,2963,3223,6186,1201,5
Gokwe North-35, ZW170235 ,3410,3670,7080,1507,5
Gokwe North-36, ZW170236 ,5898,6422,12320,2937,4
Gokwe South-1, ZW170301 ,5152,5436,10588,2231,5
Gokwe South-2, ZW170302 ,3804,4102,7906,1573,5
Gokwe South-3, ZW170303 ,1574,1872,3446,691,5
Gokwe South-4, ZW170304 ,3897,4298,8195,1653,5
Gokwe South-5, ZW170305 ,5588,6280,11868,2432,5
Gokwe South-6, ZW170306 ,3366,3772,7138,1460,5
Gokwe South-7, ZW170307 ,3035,3319,6354,1342,5
Gokwe South-8, ZW170308 ,4337,4640,8977,1867,5
Gokwe South-9, ZW170309 ,8883,9652,18535,3736,5
Gokwe South-10, ZW170310 ,5591,6371,11962,2445,5
Gokwe South-11, ZW170311 ,5950,6565,12515,2653,5
Gokwe South-12, ZW170312 ,5240,5666,10906,2226,5
Gokwe South-13, ZW170313 ,6442,6915,13357,2632,5
Gokwe South-14, ZW170314 ,4951,5153,10104,2024,5
Gokwe South-15, ZW170315 ,6339,6953,13292,2698,5
Gokwe South-16, ZW170316 ,4926,5127,10053,2041,5
Gokwe South-17, ZW170317 ,3114,3210,6324,1267,5
Gokwe South-18, ZW170318 ,4330,4709,9039,1908,5
Gokwe South-19, ZW170319 ,6795,7194,13989,2877,5
Gokwe South-20, ZW170320 ,3094,3463,6557,1344,5
Gokwe South-21, ZW170321 ,4788,5084,9872,2106,5
Gokwe South-22, ZW170322 ,3553,3716,7269,1525,5
Gokwe South-23, ZW170323 ,7005,7340,14345,3083,5
Gokwe South-24, ZW170324 ,9363,9353,18716,4080,5
Gokwe South-25, ZW170325 ,5369,5612,10981,2311,5
Gokwe South-26, ZW170326 ,2995,3326,6321,1215,5
Gokwe South-27, ZW170327 ,4978,5223,10201,1956,5
Gokwe South-28, ZW170328 ,1693,1629,3322,644,5
Gokwe South-29, ZW170329 ,3285,3647,6932,1391,5
Gokwe South-30, ZW170330 ,2033,2188,4221,845,5
Gokwe South-31, ZW170331 ,2005,2219,4224,819,5
Gokwe South-32, ZW170332 ,2251,2390,4641,1030,5
Gokwe South-33, ZW170333 ,2553,2547,5100,1119,5
Gweru-1, ZW170401 ,5466,5860,11326,2738,9
Gweru-2, ZW170402 ,7773,8738,16511,3930,9
Gweru-3, ZW170403 ,4690,5535,10225,2291,9
Gweru-4, ZW170404 ,5433,6516,11949,2827,9
Gweru-5, ZW170405 ,7705,8411,16116,4411,8
Gweru-6, ZW170406 ,5755,6422,12177,3049,9
Gweru-7, ZW170407 ,5464,6323,11787,2979,8
Gweru-8, ZW170408 ,9719,11160,20879,5166,9
Gweru-9, ZW170409 ,6343,6656,12999,3271,8
Gweru-10, ZW170410 ,7979,9109,17088,4280,8
Gweru-11, ZW170411 ,4773,5741,10514,2639,9
Gweru-12, ZW170412 ,5477,6552,12029,2876,8
Gweru-13, ZW170413 ,5219,6024,11243,2849,9
Gweru-14, ZW170414 ,7958,7064,15022,3643,8
Gweru-15, ZW170415 ,7916,8874,16790,4225,8
Gweru-16, ZW170416 ,7317,7596,14913,3655,8
Gweru-17, ZW170417 ,5461,6097,11558,2831,9
Gweru-18, ZW170418 ,6889,7284,14173,3418,9
Gweru-19, ZW170419 ,2040,2022,4062,827,5
Kwekwe-1, ZW170501 ,7689,7895,15584,3736,9
Kwekwe-2, ZW170502 ,8796,8974,17770,4779,7
Kwekwe-3, ZW170503 ,7629,7623,15252,3590,9
Kwekwe-4, ZW170504 ,4466,4342,8808,2218,8
Kwekwe-5, ZW170505 ,6415,6907,13322,2982,9
Kwekwe-6, ZW170506 ,5071,5128,10199,2280,9
Kwekwe-7, ZW170507 ,5159,5567,10726,2490,9
Kwekwe-8, ZW170508 ,7642,8332,15974,3714,9
Kwekwe-9, ZW170509 ,3629,3897,7526,1821,8
Kwekwe-10, ZW170510 ,4977,5398,10375,2370,9
Kwekwe-11, ZW170511 ,8981,9782,18763,4246,9
Kwekwe-12, ZW170512 ,5549,6126,11675,2592,9
Kwekwe-13, ZW170513 ,4875,5379,10254,2194,9
Kwekwe-14, ZW170514 ,6281,6642,12923,2938,9
Kwekwe-15, ZW170515 ,3463,3443,6906,1450,5
Kwekwe-16, ZW170516 ,2010,2283,4293,817,5
Kwekwe-17, ZW170517 ,3724,4087,7811,1535,5
Kwekwe-18, ZW170518 ,1094,1101,2195,587,4
Kwekwe-19, ZW170519 ,1232,1318,2550,618,4
Kwekwe-20, ZW170520 ,2730,2799,5529,1282,4
Kwekwe-21, ZW170521 ,4647,5035,9682,2045,5
Kwekwe-22, ZW170522 ,4788,4894,9682,1933,5
Kwekwe-23, ZW170523 ,722,803,1525,292,5
Kwekwe-24, ZW170524 ,3131,3297,6428,1340,5
Kwekwe-25, ZW170525 ,2454,2645,5099,1096,5
Kwekwe-26, ZW170526 ,931,957,1888,387,5
Kwekwe-27, ZW170527 ,2448,2550,4998,1002,5
Kwekwe-28, ZW170528 ,992,1034,2026,397,5
Kwekwe-29, ZW170529 ,1404,1427,2831,579,5
Kwekwe-30, ZW170530 ,3260,2925,6185,1504,4
Kwekwe-31, ZW170531 ,5586,4646,10232,2530,4
Kwekwe-32, ZW170532 ,1822,1853,3675,823,5
Kwekwe-33, ZW170533 ,1778,1826,3604,719,5
Mberengwa-1, ZW170601 ,2310,2217,4527,940,5
Mberengwa-2, ZW170602 ,6084,5571,11655,2543,5
Mberengwa-3, ZW170603 ,2676,3149,5825,1262,5
Mberengwa-4, ZW170604 ,2855,3264,6119,1373,5
Mberengwa-5, ZW170605 ,3221,3880,7101,1459,5
Mberengwa-6, ZW170606 ,3907,4863,8770,1856,5
Mberengwa-7, ZW170607 ,1715,2013,3728,829,5
Mberengwa-8, ZW170608 ,2181,2518,4699,997,5
Mberengwa-9, ZW170609 ,1673,1892,3565,732,5
Mberengwa-10, ZW170610 ,1808,1910,3718,769,5
Mberengwa-11, ZW170611 ,1755,1974,3729,790,5
Mberengwa-12, ZW170612 ,2024,2273,4297,922,5
Mberengwa-13, ZW170613 ,2039,2290,4329,895,5
Mberengwa-14, ZW170614 ,1721,2028,3749,696,5
Mberengwa-15, ZW170615 ,1839,2071,3910,806,5
Mberengwa-16, ZW170616 ,1801,2160,3961,838,5
Mberengwa-17, ZW170617 ,2155,2438,4593,985,5
Mberengwa-18, ZW170618 ,3575,4360,7935,1723,5
Mberengwa-19, ZW170619 ,2878,3559,6437,1299,5
Mberengwa-20, ZW170620 ,1606,2014,3620,755,5
Mberengwa-21, ZW170621 ,2210,2571,4781,956,5
Mberengwa-22, ZW170622 ,1813,2321,4134,861,5
Mberengwa-23, ZW170623 ,2082,2631,4713,999,5
Mberengwa-24, ZW170624 ,2038,2458,4496,897,5
Mberengwa-25, ZW170625 ,1572,2010,3582,752,5
Mberengwa-26, ZW170626 ,2711,3267,5978,1216,5
Mberengwa-27, ZW170627 ,1619,2025,3644,715,5
Mberengwa-28, ZW170628 ,1751,2113,3864,792,5
Mberengwa-29, ZW170629 ,2535,2868,5403,1080,5
Mberengwa-30, ZW170630 ,2073,2479,4552,938,5
Mberengwa-31, ZW170631 ,3138,3794,6932,1490,5
Mberengwa-32, ZW170632 ,2817,3163,5980,1280,5
Mberengwa-33, ZW170633 ,1357,1733,3090,662,5
Mberengwa-34, ZW170634 ,1485,1668,3153,660,5
Mberengwa-35, ZW170635 ,2739,2631,5370,1073,5
Mberengwa-36, ZW170636 ,4625,4070,8695,1695,5
Mberengwa-37, ZW170637 ,697,833,1530,317,5
Shurugwi-1, ZW170701 ,2261,2314,4575,1027,8
Shurugwi-2, ZW170702 ,2112,2186,4298,970,9
Shurugwi-3, ZW170703 ,724,703,1427,393,8
Shurugwi-4, ZW170704 ,802,787,1589,375,9
Shurugwi-5, ZW170705 ,2381,2734,5115,1187,9
Shurugwi-6, ZW170706 ,1835,1664,3499,777,10
Shurugwi-7, ZW170707 ,1658,1738,3396,797,8
Shurugwi-8, ZW170708 ,2529,2760,5289,1200,9
Shurugwi-9, ZW170709 ,2659,3002,5661,1348,8
Shurugwi-10, ZW170710 ,3611,4058,7669,1896,8
Shurugwi-11, ZW170711 ,3597,4090,7687,1762,9
Shurugwi-12, ZW170712 ,3513,3920,7433,1776,8
Shurugwi-13, ZW170713 ,2986,2918,5904,1476,8
Shurugwi-14, ZW170714 ,1260,1483,2743,679,4
Shurugwi-15, ZW170715 ,1406,1586,2992,696,4
Shurugwi-16, ZW170716 ,1411,1307,2718,567,5
Shurugwi-17, ZW170717 ,2035,1582,3617,817,4
Shurugwi-18, ZW170718 ,3408,2926,6334,1448,4
Shurugwi-19, ZW170719 ,2353,1979,4332,777,6
Shurugwi-20, ZW170720 ,1376,1365,2741,589,5
Shurugwi-21, ZW170721 ,2608,2771,5379,1143,5
Shurugwi-22, ZW170722 ,264,238,502,100,5
Shurugwi-23, ZW170723 ,747,866,1613,316,5
Shurugwi-24, ZW170724 ,1598,1805,3403,785,4
Zvishavane-1, ZW170801 ,2365,2634,4999,1238,8
Zvishavane-2, ZW170802 ,2323,2684,5007,1202,8
Zvishavane-3, ZW170803 ,3542,3953,7495,2020,8
Zvishavane-4, ZW170804 ,4153,4725,8878,2070,9
Zvishavane-5, ZW170805 ,2276,2222,4498,994,9
Zvishavane-6, ZW170806 ,3565,4184,7749,1797,9
Zvishavane-7, ZW170807 ,5081,5739,10820,2536,9
Zvishavane-8, ZW170808 ,5929,6474,12403,3353,8
Zvishavane-9, ZW170809 ,2073,2165,4238,1155,8
Zvishavane-10, ZW170810 ,4047,4437,8484,2098,9
Zvishavane-11, ZW170811 ,1366,1633,2999,651,5
Zvishavane-12, ZW170812 ,1840,1825,3665,750,5
Zvishavane-13, ZW170813 ,2014,2139,4153,867,5
Zvishavane-14, ZW170814 ,3192,3007,6199,1314,5
Zvishavane-15, ZW170815 ,2347,2660,5007,1106,5
Zvishavane-16, ZW170816 ,1836,2105,3941,841,5
Zvishavane-17, ZW170817 ,2624,2993,5617,1191,5
Zvishavane-18, ZW170818 ,2318,2549,4867,945,5
Zvishavane-19, ZW170819 ,2395,1958,4353,1040,4
Redcliff-1, ZW172301 ,1154,1251,2405,656,4
Redcliff-2, ZW172302 ,1738,1745,3483,954,4
Redcliff-3, ZW172303 ,1323,1379,2702,692,4
Redcliff-4, ZW172304 ,1943,2118,4061,1023,4
Redcliff-5, ZW172305 ,3405,3741,7146,1970,4
Redcliff-6, ZW172306 ,4579,5004,9583,2493,4
Redcliff-7, ZW172307 ,863,987,1850,494,4
Redcliff-8, ZW172308 ,938,1026,1964,520,4
Redcliff-9, ZW172309 ,1254,1476,2730,656,4
Gokwe South Urban-1, ZW172901 ,1352,1732,3084,797,4
Gokwe South Urban-2, ZW172902 ,1933,2421,4354,1292,3
Gokwe South Urban-3, ZW172903 ,2035,2370,4405,1036,4
Gokwe South Urban-4, ZW172904 ,1036,1197,2233,637,4
Gokwe South Urban-5, ZW172905 ,3421,4245,7666,2080,4
Gokwe South Urban-6, ZW172906 ,1131,1263,2394,553,4
Bikita-1, ZW180101 ,1693,1953,3646,738,5
Bikita-2, ZW180102 ,3981,4911,8892,1957,5
Bikita-3, ZW180103 ,3228,3978,7206,1704,4
Bikita-4, ZW180104 ,2310,2932,5242,1260,4
Bikita-5, ZW180105 ,3017,3542,6559,1554,4
Bikita-6, ZW180106 ,1827,2397,4224,975,4
Bikita-7, ZW180107 ,2349,2709,5058,1210,4
Bikita-8, ZW180108 ,2718,3407,6125,1456,4
Bikita-9, ZW180109 ,3182,3786,6968,1638,4
Bikita-10, ZW180110 ,2392,2882,5274,1215,4
Bikita-11, ZW180111 ,3481,4009,7490,1740,4
Bikita-12, ZW180112 ,1951,2283,4234,977,4
Bikita-13, ZW180113 ,4764,5917,10681,2622,4
