Week,Indicator,Cluster,Location,Target,UNICEF Results,Cluster_Results,Comments
2019-04-07,Number of children aged 6 to 59 months receiving vitamin A supplementation,Nutrition ,Chimanimani,42300,159,n/a,Vitamin A supplementation not yet commenced 
2019-04-07,Number of children aged 6 to 59 months receiving vitamin A supplementation,Nutrition ,Chipinge,42300,45,,
