Week,Indicator,Cluster,Location,Target,UNICEF Results,Cluster Results ,Comments 
2019-04-07,Number of children aged 6 to 59 months given MicroNutrient Powders,Nutrition ,Chimanimani,42300,513,n/a,No cluster data available 
2019-04-07,Number of children aged 6 to 59 months given MicroNutrient Powders,Nutrition ,Chipinge,42300,38,,
